X,Y,Date,Site,GenSite,Season,Lat,Long,Flow,Discharge,pH,Temp_pH,SpecCond,Temp_sc,pH_est,Temp_est,Balance,Flag,Ca,CO2,CO2_iso,DIC,DIC_iso,Bicarb,Carb,CarbAcid,CO2_aq,Bicarb_per,logSI,DelDICCO2,eDICCO2,Time
-94.22037,36.450391,2011/06/22,BS07,cave,summer,36.45039100000,-94.22037000000,baseflow,0.01200000000,7.50000000000,14.70000000000,-9999.00000000000,14.70000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999,-9999.00000000000,3140.00000000000,-9999.00000000000,25.60000000000,-14.55000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,12:20
-94.22037,36.450391,2011/07/06,BS07,cave,summer,36.45039100000,-94.22037000000,baseflow,0.01000000000,7.60000000000,14.70000000000,-9999.00000000000,14.70000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999,-9999.00000000000,2900.00000000000,-22.99000000000,26.90000000000,-14.64000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,12:10
-94.22037,36.450391,2011/07/21,BS07,cave,summer,36.45039100000,-94.22037000000,baseflow,0.00700000000,7.50000000000,14.70000000000,-9999.00000000000,14.60000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999,-9999.00000000000,2820.00000000000,-21.95000000000,27.50000000000,-14.56000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,12:15
-94.22037,36.450391,2011/10/05,BS07,cave,fall,36.45039100000,-94.22037000000,baseflow,0.00700000000,7.10000000000,14.60000000000,253.90000000000,14.60000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999,41.70000000000,1676.00000000000,-9999.00000000000,27.10000000000,-14.16000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,-9999.00000000000,12:20
-94.22037,36.450391,2012/03/16,BS07,cave,winter,36.45039100000,-94.22037000000,baseflow,0.00700000000,7.90000000000,14.60000000000,235.40000000000,14.60000000000,-9999.00000000000,-9999.00000000000,17.00000000000,E,37.80000000000,1432.00000000000,-18.67000000000,31.00000000000,-12.96000000000,0.00250000000,0.00000970000,0.00007100000,0.00007100000,-9999.00000000000,0.14000000000,5.70000000000,8.80000000000,11:55
-94.22037,36.450391,2012/04/06,BS07,cave,spring,36.45039100000,-94.22037000000,baseflow,0.01400000000,7.70000000000,14.50000000000,233.90000000000,14.50000000000,-9999.00000000000,-9999.00000000000,2.00000000000,-9999,34.90000000000,840.00000000000,-14.72000000000,32.70000000000,-13.33000000000,0.00258000000,0.00000520000,0.00014000000,0.00013900000,95.00000000000,-0.15000000000,1.40000000000,8.50000000000,10:40
-94.22037,36.450391,2012/04/18,BS07,cave,spring,36.45039100000,-94.22037000000,baseflow,0.01300000000,7.60000000000,14.60000000000,255.40000000000,14.60000000000,-9999.00000000000,-9999.00000000000,0.00000000000,-9999,41.60000000000,2380.00000000000,-26.45000000000,36.10000000000,-13.59000000000,0.00284000000,0.00000550000,0.00016300000,0.00016300000,94.00000000000,-0.07000000000,12.90000000000,8.50000000000,17:50
-94.22037,36.450391,2012/05/04,BS07,cave,spring,36.45039100000,-94.22037000000,baseflow,0.01400000000,7.70000000000,14.60000000000,252.20000000000,14.60000000000,-9999.00000000000,-9999.00000000000,1.00000000000,-9999,39.10000000000,2715.00000000000,-22.38000000000,28.20000000000,-14.49000000000,0.00222000000,0.00000460000,0.00012000000,0.00011900000,95.00000000000,-0.17000000000,7.90000000000,8.50000000000,10:30
-94.22037,36.450391,2012/05/14,BS07,cave,spring,36.45039100000,-94.22037000000,baseflow,0.01000000000,7.60000000000,14.60000000000,256.10000000000,14.60000000000,-9999.00000000000,-9999.00000000000,2.00000000000,-9999,44.90000000000,2840.00000000000,-23.00000000000,27.70000000000,-13.55000000000,0.00218000000,0.00000430000,0.00012200000,0.00012200000,95.00000000000,-0.15000000000,9.40000000000,8.50000000000,17:45
-94.22037,36.450391,2012/06/26,BS07,cave,summer,36.45039100000,-94.22037000000,baseflow,0.01000000000,7.70000000000,14.60000000000,272.70000000000,14.70000000000,-9999.00000000000,-9999.00000000000,25.00000000000,E,80.40000000000,-9999.00000000000,-9999.00000000000,29.80000000000,-13.62000000000,0.00237000000,0.00000560000,0.00010900000,0.00010900000,95.00000000000,0.24000000000,-9999.00000000000,-9999.00000000000,15:40
