,discharge,quality
2016-06-16,128.0,A
2016-06-17,118.0,A
2016-06-18,110.0,A
2016-06-19,105.0,A
2016-06-20,95.1,A
2016-06-21,87.9,A
2016-06-22,81.2,A
2016-06-23,76.8,A
2016-06-24,71.7,A
2016-06-25,68.0,A
2016-06-26,64.0,A
2016-06-27,62.4,A
2016-06-28,66.9,A
2016-06-29,63.0,A
2016-06-30,60.1,A
2016-07-01,84.1,A
2016-07-02,89.3,A
2016-07-03,950.0,A
2016-07-04,778.0,A
2016-07-05,410.0,A
2016-07-06,296.0,A
2016-07-07,242.0,A
2016-07-08,199.0,A
2016-07-09,555.0,A
2016-07-10,403.0,A
2016-07-11,279.0,A
2016-07-12,220.0,A
2016-07-13,188.0,A
2016-07-14,166.0,A
2016-07-15,157.0,A
2016-07-16,177.0,A
2016-07-17,151.0,A
2016-07-18,138.0,A
2016-07-19,129.0,A
2016-07-20,119.0,A
2016-07-21,112.0,A
2016-07-22,105.0,A
2016-07-23,95.9,A
2016-07-24,87.4,A
2016-07-25,81.0,A
2016-07-26,333.0,A
2016-07-27,426.0,A
2016-07-28,426.0,A
2016-07-29,246.0,A
2016-07-30,187.0,A
2016-07-31,162.0,A
2016-08-01,143.0,A
2016-08-02,127.0,A
2016-08-03,114.0,A
2016-08-04,102.0,A
2016-08-05,92.1,A
2016-08-06,96.3,A
2016-08-07,114.0,A
2016-08-08,154.0,A
2016-08-09,125.0,A
2016-08-10,107.0,A
2016-08-11,94.8,A
2016-08-12,87.2,A
2016-08-13,80.1,A
2016-08-14,71.1,A
2016-08-15,65.1,A
2016-08-16,62.9,A
2016-08-17,58.8,A
2016-08-18,56.1,A
2016-08-19,55.6,A
2016-08-20,55.9,A
2016-08-21,54.5,A
2016-08-22,50.7,A
2016-08-23,48.3,A
2016-08-24,46.8,A
2016-08-25,44.2,A
2016-08-26,43.3,A
2016-08-27,44.7,A
2016-08-28,44.5,A
2016-08-29,42.3,A
2016-08-30,40.5,A
2016-08-31,39.5,A
2016-09-01,39.2,A
2016-09-02,38.1,A
2016-09-03,36.4,A
2016-09-04,34.9,A
2016-09-05,33.6,A
2016-09-06,33.1,A
2016-09-07,32.7,A
2016-09-08,36.7,A
2016-09-09,418.0,A
2016-09-10,219.0,A
2016-09-11,168.0,A
2016-09-12,132.0,A
2016-09-13,115.0,A
2016-09-14,105.0,A
2016-09-15,126.0,A
2016-09-16,115.0,A
2016-09-17,405.0,A
2016-09-18,242.0,A
2016-09-19,185.0,A
2016-09-20,154.0,A
2016-09-21,134.0,A
2016-09-22,121.0,A
2016-09-23,109.0,A
2016-09-24,101.0,A
2016-09-25,90.8,A
2016-09-26,82.1,A
2016-09-27,73.5,A
2016-09-28,68.5,A
2016-09-29,67.2,A
2016-09-30,61.5,A
2016-10-01,60.5,A
2016-10-02,56.0,A
2016-10-03,53.7,A
